material,T_c
Gd1Ba1.8Sr0.2Cu3O,94.7
Gd1Ba1.6Sr0.4Cu3O,92.4
Gd1Ba1.4Sr0.6Cu3O,89.4
Gd1Ba1.2Sr0.8Cu3O,90.7
Gd1Ba1Sr1Cu3O,88.6
La2.89Na0.11Cu1O4,16
La2.89Na0.41Cu1O4,18
Bi1Ca1Sr1Cu2O,75
Bi1Ca1Sr1Cu2O,70
Y1Ba2Cu3O7,91.3
Ho1Ba2Cu3O7,92.1
Sm1Ba2Cu3O7,92.6
Y1Ba2Cu3O7,88.1
Eu1Ba2Cu3O,94
Y1Ba2Cu3O6.8,79
Nd1Ba2Cu3O,82.5
Bi1Sr1Ca1Cu2O,105
La1.8Sr0.2Cu1O4,35.7
Y1.2Ba0.8Cu1O4,75
Gd1Ba2Cu2.82Fe0.18O9,42
Y1.2Ba0.8Cu1O4,94.5
Er1Ba2Cu3O7,90
Er0.75Yb0.25Ba2Cu3O7,87.6
Er0.62Yb0.38Ba2Cu3O7,88.3
Er0.5Yb0.5Ba2Cu3O7,89.3
Er0.37Yb0.63Ba2Cu3O7,87.8
Er0.25Yb0.75Ba2Cu3O7,86.3
Yb1Ba2Cu3O7,88.5
Y1Ba2Cu2.9Fe0.1O,90
Y1Ba2Cu2.8Fe0.2O,66
Y1Ba2Cu2.7Fe0.3O,44
Y1Ba2Cu2.6Fe0.4O,22
Y1Ba2Cu2.9Ni0.1O,80
Y1Ba2Cu2.8Ni0.2O,73
Y1Ba2Cu2.9Co0.1O,88
Y1Ba2Cu2.7Co0.3O,50
Y1Ba2Cu2.6Co0.4O,15
Y1Ba2Cu2.9Zn0.1O,58
Y1Ba2Cu2.8Zn0.2O,50
Dy1Ba2Cu3O,91.2
Y1Ba2Cu3O,90.8
Y1Ba2Cu3O,91.5
La1.85Sr0.15Cu1O4,40
Y1Ba2Cu2.94Ga0.06O7,87
Y1Ba2Cu2.85Ga0.15O7,75
Y1Ba2Cu2.7Ga0.3O7,66
Y1Ba2Cu3O6.98,92
Y1Ba2Cu2.88Fe0.12O7,70
Gd1Ba2Cu3O7,94.7
Eu1Ba2Cu3O7,94.5
Nd1Ba2Cu3O,90
Nd1.2Ba1.8Cu3O,60
Nd1.08Ba1.92Cu3O,86
Nd1.32Ba1.68Cu3O,20
Y1Ba2Cu2.97Mo0.03O,76
Y1Ba2Cu2.94Mo0.06O,63
Y1Ba2Cu2.895Mo0.105O,52.5
Y1Ba2Cu2.85Mo0.15O,50
Y1Ba2Cu2.97Zn0.03O,79
Y1Ba2Cu2.94Zn0.06O,62
Y1Ba2Cu2.895Zn0.105O,52
Y1Ba2Cu2.85Zn0.15O,38
Y1Ba2Cu2.97Al0.03O,81
Y1Ba2Cu2.94Al0.06O,58
Y1Ba2Cu2.885Al0.105O,42
Y1Ba2Cu2.85Al0.15O,33
Y1Ba1.95La0.05Cu3O,91
Y1Ba1.85La0.15Cu3O,88
Y1Ba1.75La0.25Cu3O,76
Y1Ba1.65La0.35Cu3O,64
Y1Ba2Cu3O7,92.5
Nd1Ba2Cu3O7,67
Sm1Ba2Cu3O7,76
Eu1Ba2Cu3O7,92
Gd1Ba2Cu3O7,86
Dy1Ba2Cu3O7,92
Ho1Ba2Cu3O7,91
Er1Ba2Cu3O7,91
Tm1Ba2Cu3O7,92
Yb1Ba2Cu3O7,91
Y1Ba2Cu3HO7,90
Y1Ba2Cu3HO7,43.05
Gd1Ba2Cu3O7,93
Dy1Ba2Cu3O7,94
Sm1Ba2Cu3O7,92
Ho1Ba2Cu3O7,93.5
Y1Ba2Cu3O7,93.5
Nd1Ba2Cu3O7,88
Nd1Ba2Cu3S1O6,69
Nd1Ba2Cu3S1O5,56
Eu1Ba2Cu3S1O6,85
Gd1Ba2Cu3O7,92
Gd1Ba2Cu3S1O6,92
Y1Ba2Cu3O6.89,92
Y1Ba2Cu3S0.03O7.12,90
Y1Ba2Cu3S0.06O7.23,89
Y1Ba2Cu3S0.12O7.28,89
Y1Ba2Cu3O,91.9
Y1Ba2Cu2.975Zn0.025O,82.8
Y1Ba2Cu2.95Zn0.05O,74.7
Y1Ba2Cu2.925Zn0.075O,64.9
Y1Ba2Cu2.9Zn0.1O,57.6
Y1Ba2Cu2.85Zn0.15O,56
Y1Ba2Cu2.8Zn0.2O,56.5
Y1Ba2Cu2.7Zn0.3O,47.6
Gd1Ba2Cu3O6.9,92
Gd1Ba2Cu2.7Fe0.3O6.9,41
Gd1Ba2Cu2.7Co0.3O6.9,33
Y1Ba2Cu3O6.9,91
Bi2.2Sr2Ca0.8Cu2O8,87
Y1Ba2Cu2.5Ni0.5O7,52.3
La2.8Ba3.2Cu6O14.07,13
La2.6Ba3.4Cu6O14.06,26
La2.4Ba3.6Cu6O14.01,39
La2.2Ba3.8Cu6O13.86,52
La2Ba4Cu6O13.8,65
Y1La2Ba3Cu6O14.53,25.6
Y1La1.8Ba3.2Cu6O14.49,41.9
Y1La1.6Ba3.4Cu6O14.38,53.1
Y1La1.4Ba3.6Cu6O14.2,64
Y1La1.2Ba3.8Cu6O14.07,70.4
Y1La1Ba4Cu6O13.95,72.2
Y2La1Ba3Cu6O14.17,28
Y2La0.8Ba3.2Cu6O14.2,46
Y2La0.6Ba3.4Cu6O14.02,60
Y2La0.4Ba3.6Cu6O13.91,78
Y2La0.2Ba3.8Cu6O13.92,93
Y2La0.15Ba3.85Cu6O13.99,93.2
Y2La0.1Ba3.9Cu6O13.94,90
Y2Ba4Cu6O13.9,93
Y1Ba2Cu3O6.94,97
Y1Ba1.975La0.025Cu3O6.95,99
Y1Ba1.95La0.05Cu3O6.9,99
Y1Ba1.925La0.075Cu3O6.9,99
Y1Ba1.9La0.1Cu3O6.9,95
Y1Ba1.8La0.2Cu3O6.95,78
Y1Ba1.7La0.3Cu3O7,67
Y1Ba1.6La0.4Cu3O7.05,52
Y1Ba1.5La0.5Cu3O7.08,38
Gd1Ba2Cu3O,89
Gd1Ba2Cu2.925Fe0.075O,64
Gd1Ba2Cu2.85Fe0.15O,47
Gd1Ba2Cu2.775Fe0.225O,33
Gd1Ba2Cu2.7Fe0.3O,11
Y1Ba2Cu3O,93
Y1Ba2Cu3O,91.6
La1Ba2Cu3O,34.5
La1Ba1.75Ca0.25Cu3O,71.7
La1Ba1.25Ca0.75Cu3O,78.2
La1Ba1Ca1Cu3O,80
La1Ba0.5Ca1.5Cu3O,36.7
Y1Ba2Cu2.8Co0.2O7.04,53
Bi2Sr2Ca2Cu3O,111
Bi2Sr2Ca1Cu2O,87
Y1Ba2Cu2.97Co0.03O6.96,92
Y1Ba2Cu2.925Co0.075O6.97,92
Y1Ba2Cu2.85Co0.15O7.03,65
Y1Ba2Cu2.775Co0.225O6.99,58
Y1Ba2Cu2.7Co0.3O7.11,36
Y1Ba2Cu2.94Ni0.06O7.01,85
Y1Ba2Cu2.85Ni0.15O6.84,75
Y1Ba2Cu2.7Ni0.3O6.88,73
Y1Ba2Cu2.4Ni0.6O6.94,66
La1.94Sr0.06Cu1O3.995,6.5
La1.92Sr0.08Cu1O3.994,20.3
La1.89Sr0.11Cu1O3.986,29.2
La1.855Sr0.145Cu1O4,34.9
La1.85Sr0.15Cu1O4,35.2
La1.815Sr0.185Cu1O3.964,33.2
La1.78Sr0.22Cu1O3.945,34.8
La1.75Sr0.25Cu1O3.921,19.6
La1.73Sr0.27Cu1O3.913,30.6
La1Ba2Cu2.9O6.8,45
La1.2Ba1.8Cu3O6.98,80
Y0.875Lu0.125Ba2Cu3O,89.7
Y0.75Lu0.25Ba2Cu3O,88.2
Y0.625Lu0.375Ba2Cu3O,88
Y0.5Lu0.5Ba2Cu3O,86.7
Y0.375Lu0.625Ba2Cu3O,86.9
Y0.25Lu0.75Ba2Cu3O,86
Y0.125Lu0.875Ba2Cu3O,87.9
La1.9Ba0.1Cu1O4,26.9
La1.785Ba0.215Cu1O,25.5
La1.9Sr0.1Cu1O3.98,29.5
La1.875Sr0.125Cu1O,34.3
La1.85Sr0.15Cu1O3.98,37.9
La1.825Sr0.175Cu1O,35
La1.8Sr0.2Cu1O3.99,27.5
La1.75Sr0.25Cu1O,11.9
La1.9Ca0.1Cu1O3.967,20
La1.85Ca0.15Cu1O3.942,19
La1.8Ca0.2Cu1O3.917,19.5
Y1Ba2Cu3O6.94,92.5
Y1Ba2Cu3O6.89,92.1
Y1Ba2Cu3O6.84,91
Y1Ba2Cu3O6.83,89.3
Y1Ba2Cu3O6.75,92.3
Y1Ba2Cu3O6.7,83
Y1Ba2Cu3O6.4,33
Y1Ba2Cu2.955Fe0.045O6.89,72
Y1Ba2Cu2.9Fe0.1O6.92,48
Y1Ba2Cu2.52Al0.48O6.74,68
Y1Ba2Cu2.05Al0.95O6.7,63
Y1Ba2Cu2.095Al0.095O6.81,83.3
Y1Ba2Cu2.98Zr0.02O6.84,90.2
Y1Ba2Cu2.94Zr0.06O6.81,92.3
Y1Ba2Cu2.98Zr0.2O6.75,89.8
Eu1Ba2Cu3O6.76,77
Eu1Ba2Cu3O6.88,94
Y1Ba2Cu2.98Fe0.02O6.93,89
Y1Ba2Cu2.994Zn0.006O6.63,60
Sr0.25La1.75Cu1O4,33
Sm0.4Ba0.6Cu1O,18
Eu0.1La1.7Sr0.2Cu1O4,33
Y1Ba2Cu3O7,92.3
Y1Ba1.48Sr0.52Cu3O7,95
Y1Ba1.48Sr0.52Cu3O7,85
Eu1Ba2Cu3O,93
Sm1Ba2Cu3O6.85,92.8
Sm1.05Ba1.95Cu3O6.87,89.75
Sm1.15Ba1.85Cu3O6.95,77.3
Sm1.2Ba1.8Cu3O7.01,56.5
Sm1.28Ba1.72Cu3O7.03,43.6
Sm1.35Ba1.65Cu3O7.07,26.2
Nd1.32Ce0.27Sr0.41Cu1O,20
Y1Ba2Cu3O6.75,89.1
Y1Ba2Cu3O6.72,62
Y1Ba2Cu3O6.62,62
Er1Ba2Cu3O7,88
Bi2Ca1Sr2Cu2O8,88.5
Ba0.65K0.35Bi1O3,23
La2Cu1O4.13,28
La1.9Sr0.1Cu1O4,26
La1.75Sr0.25Cu1O4,30
Bi2Sr2Ca1Cu2O,85
Bi2Sr2Ca2Cu3O,108
Tl2Ca1Ba2Cu2O,106
Y1Ba2Cu3O6.8,92
Y1Ba2Cu3O,89
Y1Ba2Cu3O7,91.2
Bi2.2Ca1Sr1.9Cu2O8,86.5
Bi2Sr1.3Ca0.7Cu1O6.15,84
Bi0.8Pb0.2Sb0.05Sr1Ca1Cu2O,93
Bi0.8Pb0.2Sr1Ca1Cu2O,108
Y1Ba2Cu2.82Fe0.18O,55
Y1Ba2Cu2.7Fe0.3O,39
Bi4.4Sr3.6Ca2Cu4O,83.6
Pb0.3Bi1.7Sr2Ca2Cu3O10,107
Y1Ba2Cu3O6.55,89
Ba0.6K0.4Bi1O3,31.5
Y1Ba2Cu2.85Ag0.15O7,90
Y1Ba2Cu3O6.9,90.6
Y1Ba2Cu3O6.82,91.2
Y1Ba2Cu3O6.66,88.9
Y1Ba2Cu3O6.47,43.6
Y1Ba2Cu3O6.46,45
Tl1Sr2Ca0.5Sm0.5Cu2O6.75,37.6
Y1Ba2Cu4O8,82
Tl1Ba1.1La0.9Cu1O5,39.6
Tl1Ba1.2La0.8Cu1O5,41.1
Nd1.85Ce0.15Cu1O4,21
Y1Ba2Cu3O6.86,91
Y1Ba2Cu3O6.96,85
Tl2Ca2Ba2Cu3O,120
Y1Ba2Cu2.95Ni0.05O,86.8
Y1Ba2Cu2.9Ni0.1O,82.9
Y1Ba2Cu2.95Zn0.05O,72.2
Y1Ba2Cu2.9Zn0.1O,54.3
Nd1Ba2Cu3O,93
Nd1Ba2Cu2.95Ni0.05O,85
Nd1Ba2Cu2.9Ni0.1O,70.9
Nd1Ba2Cu2.95Zn0.05O,65
Nd1Ba2Cu2.9Zn0.1O,36.9
Gd1Ba2Cu3O,93.4
Gd1Ba2Cu2.95Ni0.05O,86.2
Gd1Ba2Cu2.9Ni0.1O,84.5
Gd1Ba2Cu2.95Zn0.05O,72.5
Gd1Ba2Cu2.9Zn0.1O,53.6
Dy1Ba2Cu3O,91.3
Dy1Ba2Cu2.95Ni0.05O,87.5
Dy1Ba2Cu2.9Ni0.1O,81.8
Dy1Ba2Cu2.95Zn0.05O,71.5
Dy1Ba2Cu2.9Zn0.1O,49.3
Er1Ba2Cu3O,91.7
Er1Ba2Cu2.95Ni0.05O,87.8
Er1Ba2Cu2.9Ni0.1O,83.3
Er1Ba2Cu2.95Zn0.05O,73.1
Er1Ba2Cu2.9Zn0.1O,51.8
Bi2Sr1.3Ca0.7Cu1O8,84
La1Ba1Ca1Cu3O6.98,76.35
Er1Ba2Cu3O6.15,35
Er1Ba2Cu3O6.34,20
Er1Ba2Cu3O6.31,55
Er1Ba2Cu3O6.67,85
Er1Ba2Cu3O6.91,92
Ba0.6K0.4Bi1O3,28.9
La1.9Sr0.1Cu1O4,26.2
La1.85Sr0.15Cu1O4,28.6
La1.8Sr0.2Cu1O4,18.9
La1.7Sr0.3Cu1O4,15.2
Y1Ba2Cu3O7,91.7
Y1Ba2Cu3O7,94
Y1Ba2Cu3O6.962,92.2
Y1Ba2La1.94Cu3O6.963,91.8
Y1Ba1.92La0.08Cu3O6.965,92.6
Y1Ba1.9La0.1Cu3O6.975,93.9
Y1Ba1.86La0.14Cu3O6.98,89.4
Y1Ba1.8La0.2Cu3O7.013,80.5
Y1Ba1.76La0.24Cu3O7.024,73.4
Y1Ba1.7La0.3Cu3O7.059,61.4
Y1Ba1.66La0.34Cu3O7.073,56
Y1Ba1.6La0.4Cu3O7.083,49.4
Y1Ba1.54La0.46Cu3O7.118,44.1
Y1Ba2Cu2.95Co0.05O6.88,91.2
Y1Ba2Cu2.9Co0.1O6.89,55.3
Y1Ba2Cu2.7Co0.3O6.93,16.9
Y1Ba2Cu2.82Fe0.18O7,74
Y1Ba2Cu2.64Fe0.36O7,32
Bi2Ca1Sr2Cu2O8,81
Bi2Ca2Sr1Cu2O8,70
Bi2Ca1.5Y0.5Sr1Cu2O8,65
Tl2Ca2Ba2Cu3O,125
Tl2Ca1Ba2Cu2O,108
Nd1.85Ce0.15Cu1O4,22.3
Nd1.3Ce0.2Sr0.5Cu1O4,24
La2Cu1O4,35
Tb1Pb1Sr2Ca3Cu4O,36
Ho1Pb1Sr2Ca3Cu4O,41
Er1Pb1Sr2Ca3Cu4O,33
Tm1Pb1Sr2Ca3Cu4O,38
Yb1Pb1Sr2Ca3Cu4O,48
Lu1Pb1Sr2Ca3Cu4O,33
Y1Pb1Sr2Ca3Cu4O,31
La1Pb1Sr2Ca3Cu4O,22
Ce1Pb1Sr2Ca3Cu4O,62
Pr1Pb1Sr2Ca3Cu4O,18
Nd1Pb1Sr2Ca3Cu4O,40
Sm1Pb1Sr2Ca3Cu4O,35
Eu1Pb1Sr2Ca3Cu4O,38
Gd1Pb1Sr2Ca3Cu4O,42
Nd1.2Ce0.35Sr0.45Cu1O4,21.2
Nd1Ba2Cu3O7,94.2
Nd1.1Ba1.9Cu3O7,78.5
Nd1.2Ba1.8Cu3O7,48.8
Nd1.3Ba1.7Cu3O7,34.2
Y1Ba2Cu3O,89.8
Tl2Ba2Ca2Cu3O,129
Gd1Ba2Cu2.64Fe0.36O6.99,21
Gd1Ba2Cu3O6.99,94
Gd1Ba2Cu2.91Fe0.09O6.94,75
Gd1Ba2Cu2.82Fe0.18O6.91,41
Gd1Ba2Cu2.73Fe0.27O6.98,40
Sm1Ba2Cu3O7,88.1
Gd1Ba2Cu3O,92.7
Gd1Ba2Cu2.972Fe0.03O,90
Gd1Ba2Cu2.95Fe0.05O,89.1
Gd1Ba2Cu2.93Fe0.07O,86.9
Gd1Ba2Cu2.9Fe0.1O,75.3
Gd1Ba2Cu2.85Fe0.15O,69.1
Gd1Ba2Cu2.8Fe0.2O,58.7
Gd1Ba2Cu2.7Fe0.3O,36.2
Y1Ba2Cu3O6.96,88.1
La1.8Sr0.2Cu1O3.95,30.4
Bi2Sr2Ca1Cu2O8,72.5
Bi2Sr2Ca0.9Lu0.1Cu2O8,83.5
Bi2Sr2Ca0.8Lu0.2Cu2O8,89.5
Bi2Sr2Ca0.7Lu0.3Cu2O8,87
Bi2Sr2Ca0.6Lu0.4Cu2O8,65
Bi2Sr2Ca0.5Lu0.5Cu2O8,29
Bi2Sr2Ca0.9Na0.1Cu2O8,70.5
Bi2Sr2Ca0.8Na0.2Cu2O8,73.5
Bi2Sr2Ca0.7Na0.3Cu2O8,72.5
Bi2Sr2Ca1Cu2O8,60
Bi2Sr2Ca0.9Na0.1Cu2O8,63.5
Bi2Sr2Ca0.8Na0.2Cu2O8,66
Bi2Sr2Ca0.7Na0.3Cu2O8,65.5
Bi2Sr2Ca1Cu2O8,49.5
Bi2Sr2Ca0.9Na0.1Cu2O8,51
Bi2Sr2Ca0.8Na0.2Cu2O8,53
Bi2Sr2Ca0.7Na0.3Cu2O8,54
Y1Ba2Cu3O6.45,40
Y1Ba2Cu3O6.5,20
Y1Ba2Cu3O6.8,83
Y1Ba2Cu3O7,82
Y1Ba2Cu3O6.8,91.4
Y1Ba2Cu3O6.95,89
Bi1.84Pb0.34Sr1.91Ca2.03Cu3.06O,105
Bi0.7Pb0.3Sr1Ca1Cu1.8O6,73
Bi1Sr1Ca1Cu2O,80
Bi2Sr1.8La0.2Ca1Cu2O8,85
Bi2Sr1.6La0.4Ca1Cu2O8,74
Bi2Sr1.4La0.6Ca1Cu2O8,25.5
Bi2Sr1.8K0.2Ca1Cu2O8,75
Bi2Sr1.6K0.4Ca1Cu2O8,78
Bi2Sr1.8K0.2Ca1Cu2O8,66.5
Bi2Sr1.6K0.4Ca1Cu2O8,73
Bi2Sr1.8K0.2Ca1Cu2O8,55.5
